Round,Responder,Response,Correctresponse,Isresponsecorrect,Responsetime,Responsetimestamp,Player1Id,Player1Points,Player1Numeratorrank,Player1Numeratorsuit,Player1Numeratorcardtype,Player1Denominatorrank,Player1Denominatorsuit,Player1Denominatorcardtype,Player1Handvalue,Player2Id,Player2Points,Player2Numeratorrank,Player2Numeratorsuit,Player2Numeratorcardtype,Player2Denominatorrank,Player2Denominatorsuit,Player2Denominatorcardtype,Player2Handvalue
32,player1,swipeLeft,swipeLeft,correct,2.43,227.67000000000002,JAB-1,27,9.0,hearts,r,9.0,clubs,r,1.0,Computer,7,2.0,clubs,r,10.0,clubs,r,0.2
33,player1,swipeRight,swipeLeft,incorrect,3.4,234.71,JAB-1,27,3.0,clubs,r,10.0,hearts,r,0.3,Computer,8,2.0,hearts,r,7.0,diamonds,r,0.29
34,player1,swipeLeft,swipeLeft,correct,3.6,242.36,JAB-1,28,8.0,hearts,r,9.0,spades,r,0.89,Computer,8,6.0,clubs,r,9.0,diamonds,r,0.67
35,player1,swipeLeft,swipeLeft,correct,1.93,248.47,JAB-1,29,2.0,spades,r,5.0,spades,r,0.4,Computer,8,1.0,diamonds,r,8.0,spades,r,0.13
36,player1,swipeRight,swipeRight,correct,3.96,255.31,JAB-1,30,3.0,spades,r,6.0,diamonds,r,0.5,Computer,8,3.0,hearts,r,5.0,hearts,r,0.6
37,player1,swipeRight,swipeRight,correct,3.0500000000000003,262.79,JAB-1,31,6.0,hearts,r,8.0,diamonds,r,0.75,Computer,8,4.0,diamonds,r,5.0,clubs,r,0.8
38,player1,swipeLeft,swipeLeft,correct,2.49,269.49,JAB-1,32,9.0,clubs,r,10.0,clubs,r,0.9,Computer,8,7.0,spades,r,10.0,spades,r,0.7000000000000001
39,player1,swipeRight,swipeRight,correct,2.11,276.13,JAB-1,33,2.0,clubs,r,9.0,hearts,r,0.22,Computer,8,6.0,spades,r,10.0,diamonds,r,0.6
40,player1,swipeLeft,swipeRight,incorrect,1.56,280.61,JAB-1,33,7.0,diamonds,r,10.0,hearts,r,0.7000000000000001,Computer,9,4.0,hearts,r,5.0,diamonds,r,0.8
41,player1,swipeRight,swipeRight,correct,2.5,286.76,JAB-1,34,2.0,hearts,r,3.0,clubs,r,0.67,Computer,9,7.0,hearts,r,8.0,clubs,r,0.88
42,player1,swipeRight,swipeRight,correct,1.86,292.36,JAB-1,35,6.0,clubs,r,9.0,diamonds,r,0.67,Computer,9,1.0,clubs,r,1.0,spades,r,1.0
43,player1,swipeLeft,swipeLeft,correct,2.68,298.71,JAB-1,36,8.0,hearts,r,9.0,spades,r,0.89,Computer,9,1.0,hearts,r,4.0,clubs,r,0.25
44,player1,swipeLeft,swipeLeft,correct,2.73,305.36,JAB-1,37,5.0,spades,r,8.0,spades,r,0.63,Computer,9,4.0,spades,r,7.0,clubs,r,0.5700000000000001
