Round,Responder,Response,Correctresponse,Isresponsecorrect,Responsetime,Responsetimestamp,Player1Id,Player1Points,Player1Numeratorrank,Player1Numeratorsuit,Player1Numeratorcardtype,Player1Denominatorrank,Player1Denominatorsuit,Player1Denominatorcardtype,Player1Handvalue,Player2Id,Player2Points,Player2Numeratorrank,Player2Numeratorsuit,Player2Numeratorcardtype,Player2Denominatorrank,Player2Denominatorsuit,Player2Denominatorcardtype,Player2Handvalue
58,player1,swipeRight,swipeRight,correct,1.9000000000000001,322.1,RBP-1,43,1.0,clubs,s,9.0,spades,s,0.11,Computer,15,2.0,diamonds,s,3.0,spades,s,0.67
59,player1,swipeRight,swipeLeft,incorrect,1.55,326.41,RBP-1,43,3.0,diamonds,s,3.0,clubs,s,1.0,Computer,16,8.0,spades,s,9.0,hearts,s,0.89
60,player1,swipeLeft,swipeLeft,correct,1.7,331.73,RBP-1,44,5.0,spades,s,10.0,hearts,s,0.5,Computer,16,1.0,diamonds,s,8.0,hearts,s,0.13
61,player1,swipeRight,swipeRight,correct,2.21,337.53000000000003,RBP-1,45,2.0,spades,s,9.0,clubs,s,0.22,Computer,16,1.0,spades,s,3.0,hearts,s,0.33
62,player1,swipeRight,swipeRight,correct,2.12,343.18,RBP-1,46,5.0,diamonds,s,9.0,diamonds,s,0.56,Computer,16,6.0,hearts,s,6.0,clubs,s,1.0
63,player1,swipeLeft,swipeLeft,correct,2.13,348.90000000000003,RBP-1,47,4.0,diamonds,s,5.0,hearts,s,0.8,Computer,16,1.0,hearts,s,7.0,spades,s,0.14
64,player1,swipeLeft,swipeLeft,correct,1.6500000000000001,354.05,RBP-1,48,4.0,hearts,s,10.0,diamonds,s,0.4,Computer,16,2.0,clubs,s,7.0,hearts,s,0.29
65,player1,swipeLeft,swipeLeft,correct,1.95,359.45,RBP-1,49,3.0,diamonds,s,3.0,clubs,s,1.0,Computer,16,4.0,clubs,s,8.0,clubs,s,0.5
66,player1,swipeLeft,swipeLeft,correct,1.73,364.65000000000003,RBP-1,50,8.0,spades,s,9.0,hearts,s,0.89,Computer,16,4.0,spades,s,6.0,spades,s,0.67
67,player1,swipeLeft,swipeRight,incorrect,1.62,369.67,RBP-1,50,5.0,spades,s,8.0,hearts,s,0.63,Computer,17,5.0,clubs,s,6.0,diamonds,s,0.8300000000000001
68,player1,swipeRight,swipeRight,correct,1.86,374.95,RBP-1,51,1.0,diamonds,s,10.0,hearts,s,0.1,Computer,17,2.0,hearts,s,10.0,clubs,s,0.2
69,player1,swipeRight,swipeRight,correct,1.48,379.83,RBP-1,52,1.0,hearts,s,7.0,spades,s,0.14,Computer,17,2.0,diamonds,s,3.0,spades,s,0.67
70,player1,swipeLeft,swipeLeft,correct,1.71,384.39,RBP-1,53,4.0,diamonds,s,5.0,hearts,s,0.8,Computer,17,1.0,clubs,s,9.0,spades,s,0.11
71,player1,tapP1,swipeRight,incorrect,2.33,390.5,RBP-1,53,2.0,clubs,s,10.0,diamonds,s,0.2,Computer,18,2.0,spades,s,9.0,clubs,s,0.22
72,player1,swipeRight,swipeLeft,incorrect,1.85,396.25,RBP-1,53,4.0,hearts,s,7.0,hearts,s,0.5700000000000001,Computer,19,1.0,spades,s,3.0,hearts,s,0.33
73,player1,swipeRight,swipeRight,correct,1.93,401.8,RBP-1,54,3.0,clubs,s,8.0,clubs,s,0.38,Computer,19,5.0,diamonds,s,6.0,hearts,s,0.8300000000000001
74,player1,swipeRight,swipeLeft,incorrect,1.45,407.09000000000003,RBP-1,54,3.0,diamonds,s,4.0,clubs,s,0.75,Computer,20,6.0,clubs,s,9.0,diamonds,s,0.67
75,player1,tapP1,declareWar,correct,2.31,412.69,RBP-1,57,6.0,spades,s,8.0,spades,s,0.75,Computer,20,6.0,diamonds,s,8.0,hearts,s,0.75
76,player1,swipeRight,swipeRight,correct,1.61,420.19,RBP-1,58,1.0,clubs,s,9.0,spades,s,0.11,Computer,20,10.0,hearts,s,10.0,clubs,s,1.0
77,player1,swipeRight,swipeLeft,incorrect,2.25,426.84000000000003,RBP-1,58,4.0,diamonds,s,5.0,hearts,s,0.8,Computer,21,1.0,diamonds,s,2.0,hearts,s,0.5
78,player1,swipeRight,swipeRight,correct,1.58,431.99,RBP-1,59,1.0,spades,s,7.0,hearts,s,0.14,Computer,21,1.0,hearts,s,2.0,diamonds,s,0.5
79,player1,swipeRight,swipeLeft,incorrect,2.1,437.97,RBP-1,59,3.0,hearts,s,4.0,hearts,s,0.75,Computer,22,3.0,spades,s,7.0,spades,s,0.43
80,player1,swipeRight,swipeRight,correct,2.45,443.82,RBP-1,60,4.0,clubs,s,9.0,diamonds,s,0.44,Computer,22,3.0,clubs,s,6.0,hearts,s,0.5
81,player1,swipeRight,swipeRight,correct,2.21,449.36,RBP-1,61,3.0,diamonds,s,6.0,clubs,s,0.5,Computer,22,5.0,diamonds,s,8.0,clubs,s,0.63
82,player1,swipeRight,swipeRight,correct,2.06,454.81,RBP-1,62,1.0,diamonds,s,4.0,diamonds,s,0.25,Computer,22,6.0,spades,s,6.0,diamonds,s,1.0
83,player1,swipeRight,swipeLeft,incorrect,2.71,460.92,RBP-1,62,2.0,hearts,s,5.0,hearts,s,0.4,Computer,23,1.0,clubs,s,4.0,spades,s,0.25
84,player1,swipeRight,swipeRight,correct,2.13,466.44,RBP-1,63,4.0,hearts,s,7.0,spades,s,0.5700000000000001,Computer,23,8.0,hearts,s,10.0,clubs,s,0.8
85,player1,tapP1,swipeLeft,incorrect,2.54,473.09000000000003,RBP-1,63,3.0,hearts,s,3.0,spades,s,1.0,Computer,24,9.0,spades,s,10.0,hearts,s,0.9
86,player1,swipeRight,swipeRight,correct,2.81,479.12,RBP-1,64,1.0,clubs,s,4.0,spades,s,0.25,Computer,24,5.0,spades,s,5.0,clubs,s,1.0
87,player1,swipeRight,swipeRight,correct,1.75,484.87,RBP-1,65,2.0,hearts,s,5.0,hearts,s,0.4,Computer,24,8.0,spades,s,9.0,hearts,s,0.89
