Round,Responder,Response,Correctresponse,Isresponsecorrect,Responsetime,Responsetimestamp,Player1Id,Player1Points,Player1Numeratorrank,Player1Numeratorsuit,Player1Numeratorcardtype,Player1Denominatorrank,Player1Denominatorsuit,Player1Denominatorcardtype,Player1Handvalue,Player2Id,Player2Points,Player2Numeratorrank,Player2Numeratorsuit,Player2Numeratorcardtype,Player2Denominatorrank,Player2Denominatorsuit,Player2Denominatorcardtype,Player2Handvalue
1,player1,swipeRight,swipeRight,correct,4.6000000000000005,6.19,kap-3,1,2.0,diamonds,s,10.0,spades,s,0.2,Computer,0,3.0,clubs,s,5.0,spades,s,0.6
2,player1,swipeLeft,swipeLeft,correct,1.71,12.22,kap-3,2,9.0,diamonds,s,10.0,clubs,s,0.9,Computer,0,1.0,spades,s,3.0,spades,s,0.33
3,player1,swipeLeft,swipeLeft,correct,1.2,17.51,kap-3,3,1.0,clubs,s,1.0,diamonds,s,1.0,Computer,0,4.0,diamonds,s,6.0,clubs,s,0.67
4,player1,tapP1,swipeLeft,incorrect,2.43,23.69,kap-3,3,9.0,hearts,s,9.0,clubs,s,1.0,Computer,1,6.0,diamonds,s,8.0,diamonds,s,0.75
5,player1,tapP1,swipeLeft,incorrect,2.85,30.27,kap-3,3,2.0,hearts,s,8.0,spades,s,0.25,Computer,2,2.0,spades,s,10.0,diamonds,s,0.2
6,player1,swipeLeft,swipeLeft,correct,2.13,37.27,kap-3,4,3.0,diamonds,s,4.0,clubs,s,0.75,Computer,2,4.0,hearts,s,8.0,hearts,s,0.5
7,player1,swipeLeft,swipeLeft,correct,2.36,43.59,kap-3,5,5.0,clubs,s,6.0,hearts,s,0.8300000000000001,Computer,2,3.0,hearts,s,8.0,clubs,s,0.38
8,player1,swipeLeft,swipeLeft,correct,3.06,50.26,kap-3,6,5.0,hearts,s,7.0,clubs,s,0.71,Computer,2,1.0,hearts,s,9.0,spades,s,0.11
9,player1,swipeLeft,swipeRight,incorrect,1.3800000000000001,55.63,kap-3,6,6.0,spades,s,10.0,hearts,s,0.6,Computer,3,7.0,diamonds,s,7.0,spades,s,1.0
10,player1,swipeRight,swipeRight,correct,1.68,60.88,kap-3,7,2.0,clubs,s,7.0,hearts,s,0.29,Computer,3,4.0,spades,s,5.0,diamonds,s,0.8
11,player1,swipeRight,swipeRight,correct,1.81,65.63,kap-3,8,3.0,spades,s,10.0,clubs,s,0.3,Computer,3,2.0,diamonds,s,3.0,clubs,s,0.67
