Round,Responder,Response,Correctresponse,Isresponsecorrect,Responsetime,Responsetimestamp,Player1Id,Player1Points,Player1Numeratorrank,Player1Numeratorsuit,Player1Numeratorcardtype,Player1Denominatorrank,Player1Denominatorsuit,Player1Denominatorcardtype,Player1Handvalue,Player2Id,Player2Points,Player2Numeratorrank,Player2Numeratorsuit,Player2Numeratorcardtype,Player2Denominatorrank,Player2Denominatorsuit,Player2Denominatorcardtype,Player2Handvalue
67,player1,swipeRight,swipeRight,correct,1.24,446.59000000000003,MIL-1,51,1.0,diamonds,s,9.0,diamonds,s,0.11,Computer,18,6.0,hearts,s,9.0,spades,s,0.67
68,player1,swipeLeft,swipeLeft,correct,1.27,451.22,MIL-1,52,8.0,diamonds,s,9.0,clubs,s,0.89,Computer,18,2.0,clubs,s,6.0,diamonds,s,0.33
69,player1,swipeLeft,swipeLeft,correct,1.98,456.79,MIL-1,53,3.0,diamonds,s,5.0,diamonds,s,0.6,Computer,18,1.0,hearts,s,10.0,hearts,s,0.1
70,player1,swipeLeft,swipeLeft,correct,2.97,463.16,MIL-1,54,6.0,diamonds,s,8.0,diamonds,s,0.75,Computer,18,3.0,spades,s,8.0,spades,s,0.38
71,player1,swipeRight,swipeRight,correct,2.1,469.11,MIL-1,55,2.0,clubs,s,9.0,clubs,s,0.22,Computer,18,2.0,hearts,s,5.0,clubs,s,0.4
72,player1,swipeRight,swipeRight,correct,2.65,475.49,MIL-1,56,3.0,diamonds,s,10.0,hearts,s,0.3,Computer,18,4.0,clubs,s,5.0,hearts,s,0.8
73,player1,swipeRight,swipeRight,correct,1.8800000000000001,480.88,MIL-1,57,1.0,hearts,s,5.0,diamonds,s,0.2,Computer,18,7.0,diamonds,s,10.0,spades,s,0.7000000000000001
74,player1,swipeLeft,swipeLeft,correct,2.06,486.31,MIL-1,58,6.0,diamonds,s,8.0,diamonds,s,0.75,Computer,18,5.0,spades,s,10.0,clubs,s,0.5
75,player1,swipeRight,swipeRight,correct,1.96,491.73,MIL-1,59,3.0,spades,s,8.0,spades,s,0.38,Computer,18,7.0,spades,s,8.0,clubs,s,0.88
76,player1,swipeLeft,swipeLeft,correct,1.35,496.63,MIL-1,60,6.0,diamonds,s,8.0,diamonds,s,0.75,Computer,18,1.0,spades,s,6.0,spades,s,0.17
77,player1,swipeLeft,swipeRight,incorrect,2.19,502.19,MIL-1,60,5.0,spades,s,10.0,clubs,s,0.5,Computer,19,4.0,spades,s,6.0,clubs,s,0.67
78,player1,swipeLeft,swipeLeft,correct,2.2,507.93,MIL-1,61,1.0,spades,s,6.0,spades,s,0.17,Computer,19,1.0,clubs,s,9.0,hearts,s,0.11
79,player1,swipeLeft,swipeLeft,correct,1.32,511.99,MIL-1,62,6.0,diamonds,s,8.0,diamonds,s,0.75,Computer,19,2.0,spades,s,8.0,hearts,s,0.25
80,player1,swipeLeft,swipeLeft,correct,1.35,516.16,MIL-1,63,1.0,clubs,s,1.0,spades,s,1.0,Computer,19,3.0,hearts,s,4.0,hearts,s,0.75
81,player1,swipeRight,swipeRight,correct,1.96,520.88,MIL-1,64,6.0,spades,s,9.0,hearts,s,0.67,Computer,19,7.0,hearts,s,10.0,diamonds,s,0.7000000000000001
82,player1,swipeLeft,swipeLeft,correct,2.0300000000000002,526.28,MIL-1,65,2.0,spades,s,8.0,diamonds,s,0.25,Computer,19,1.0,diamonds,s,9.0,spades,s,0.11
83,player1,swipeRight,swipeLeft,incorrect,3.66,532.76,MIL-1,65,6.0,diamonds,s,8.0,hearts,s,0.75,Computer,20,6.0,hearts,s,9.0,diamonds,s,0.67
84,player1,swipeRight,swipeRight,correct,2.5500000000000003,539.9,MIL-1,66,1.0,spades,s,4.0,hearts,s,0.25,Computer,20,5.0,clubs,s,9.0,clubs,s,0.56
85,player1,swipeRight,swipeRight,correct,3.0300000000000002,546.71,MIL-1,67,1.0,clubs,s,3.0,hearts,s,0.33,Computer,20,2.0,hearts,s,2.0,clubs,s,1.0
86,player1,swipeRight,swipeRight,correct,2.73,553.5500000000001,MIL-1,68,1.0,diamonds,s,9.0,spades,s,0.11,Computer,20,5.0,hearts,s,10.0,hearts,s,0.5
87,player1,swipeRight,swipeRight,correct,4.3,561.75,MIL-1,69,2.0,spades,s,8.0,diamonds,s,0.25,Computer,20,3.0,diamonds,s,4.0,clubs,s,0.75
88,player1,swipeRight,swipeLeft,incorrect,2.86,570.0600000000001,MIL-1,69,6.0,hearts,s,8.0,hearts,s,0.75,Computer,21,5.0,diamonds,s,7.0,diamonds,s,0.71
89,player1,swipeLeft,swipeLeft,correct,1.78,575.3000000000001,MIL-1,70,6.0,diamonds,s,9.0,diamonds,s,0.67,Computer,21,1.0,hearts,s,10.0,spades,s,0.1
