Round,Responder,Response,Correctresponse,Isresponsecorrect,Responsetime,Responsetimestamp,Player1Id,Player1Points,Player1Numeratorrank,Player1Numeratorsuit,Player1Numeratorcardtype,Player1Denominatorrank,Player1Denominatorsuit,Player1Denominatorcardtype,Player1Handvalue,Player2Id,Player2Points,Player2Numeratorrank,Player2Numeratorsuit,Player2Numeratorcardtype,Player2Denominatorrank,Player2Denominatorsuit,Player2Denominatorcardtype,Player2Handvalue
1,player1,swipeRight,swipeRight,correct,2.65,4.49,kap-2,1,4.0,clubs,n,10.0,hearts,n,0.4,Computer,0,8.0,spades,n,9.0,diamonds,n,0.89
2,player1,swipeLeft,swipeLeft,correct,1.1500000000000001,9.540000000000001,kap-2,2,8.0,hearts,n,8.0,diamonds,n,1.0,Computer,0,2.0,spades,n,6.0,clubs,n,0.33
3,player1,swipeLeft,swipeLeft,correct,1.6600000000000001,14.780000000000001,kap-2,3,6.0,diamonds,n,10.0,spades,n,0.6,Computer,0,4.0,spades,n,10.0,clubs,n,0.4
4,player1,swipeRight,swipeRight,correct,1.3,20.06,kap-2,4,1.0,spades,n,6.0,spades,n,0.17,Computer,0,5.0,diamonds,n,7.0,diamonds,n,0.71
5,player1,swipeLeft,swipeLeft,correct,1.26,24.98,kap-2,5,5.0,clubs,n,9.0,hearts,n,0.56,Computer,0,2.0,diamonds,n,7.0,clubs,n,0.29
6,player1,swipeLeft,swipeLeft,correct,1.36,30.080000000000002,kap-2,6,2.0,hearts,n,5.0,spades,n,0.4,Computer,0,1.0,diamonds,n,7.0,spades,n,0.14
7,player1,swipeLeft,swipeLeft,correct,1.26,34.99,kap-2,7,2.0,clubs,n,3.0,spades,n,0.67,Computer,0,1.0,clubs,n,3.0,hearts,n,0.33
8,player1,swipeLeft,swipeLeft,correct,1.4000000000000001,39.99,kap-2,8,4.0,diamonds,n,8.0,clubs,n,0.5,Computer,0,4.0,hearts,n,9.0,spades,n,0.44
9,player1,swipeRight,swipeRight,correct,1.1300000000000001,44.81,kap-2,9,1.0,hearts,n,5.0,hearts,n,0.2,Computer,0,3.0,clubs,n,6.0,hearts,n,0.5
10,player1,swipeLeft,swipeLeft,correct,1.29,49.84,kap-2,10,7.0,hearts,n,9.0,clubs,n,0.78,Computer,0,3.0,diamonds,n,10.0,diamonds,n,0.3
11,player1,swipeRight,swipeRight,correct,1.45,54.980000000000004,kap-2,11,2.0,spades,n,8.0,hearts,n,0.25,Computer,0,4.0,clubs,n,8.0,spades,n,0.5
12,player1,swipeRight,swipeRight,correct,1.35,59.910000000000004,kap-2,12,6.0,clubs,n,8.0,diamonds,n,0.75,Computer,0,9.0,diamonds,n,10.0,hearts,n,0.9
