Round,Responder,Response,Correctresponse,Isresponsecorrect,Responsetime,Responsetimestamp,Player1Id,Player1Points,Player1Numeratorrank,Player1Numeratorsuit,Player1Numeratorcardtype,Player1Denominatorrank,Player1Denominatorsuit,Player1Denominatorcardtype,Player1Handvalue,Player2Id,Player2Points,Player2Numeratorrank,Player2Numeratorsuit,Player2Numeratorcardtype,Player2Denominatorrank,Player2Denominatorsuit,Player2Denominatorcardtype,Player2Handvalue
1,player2,swipeLeft,swipeLeft,correct,4.94,7.95,UOS-2,0,6.0,clubs,r,7.0,spades,r,0.86,Computer,1,1.0,clubs,r,2.0,spades,r,0.5
2,player1,swipeRight,swipeRight,correct,3.0300000000000002,16.62,UOS-2,1,1.0,hearts,r,9.0,diamonds,r,0.11,Computer,1,2.0,hearts,r,5.0,spades,r,0.4
3,player1,swipeLeft,swipeLeft,correct,2.1,22.2,UOS-2,2,5.0,diamonds,r,6.0,diamonds,r,0.8300000000000001,Computer,1,4.0,spades,r,7.0,hearts,r,0.5700000000000001
4,player1,swipeLeft,swipeLeft,correct,3.12,28.7,UOS-2,3,8.0,diamonds,r,8.0,clubs,r,1.0,Computer,1,3.0,diamonds,r,7.0,clubs,r,0.43
5,player1,swipeRight,swipeRight,correct,2.9,35.22,UOS-2,4,1.0,diamonds,r,6.0,hearts,r,0.17,Computer,1,3.0,clubs,r,9.0,clubs,r,0.33
6,player1,swipeLeft,swipeLeft,correct,2.19,43.300000000000004,UOS-2,5,9.0,hearts,r,10.0,diamonds,r,0.9,Computer,1,1.0,spades,r,5.0,clubs,r,0.2
7,player1,tapP1,swipeRight,incorrect,3.27,49.6,UOS-2,5,3.0,hearts,r,5.0,hearts,r,0.6,Computer,2,4.0,diamonds,r,6.0,spades,r,0.67
8,player1,swipeLeft,swipeLeft,correct,2.65,55.1,UOS-2,6,3.0,spades,r,7.0,diamonds,r,0.43,Computer,2,2.0,diamonds,r,10.0,spades,r,0.2
9,player2,swipeLeft,swipeLeft,correct,4.93,64.57000000000001,UOS-2,6,4.0,clubs,r,10.0,hearts,r,0.4,Computer,3,2.0,clubs,r,8.0,hearts,r,0.25
10,player1,swipeRight,swipeRight,correct,2.54,69.84,UOS-2,7,4.0,hearts,r,9.0,spades,r,0.44,Computer,3,8.0,spades,r,10.0,clubs,r,0.8
11,player1,swipeRight,swipeRight,correct,2.33,75.9,UOS-2,8,2.0,spades,r,7.0,spades,r,0.29,Computer,3,5.0,spades,r,9.0,diamonds,r,0.56
12,player1,swipeRight,swipeRight,correct,2.77,81.93,UOS-2,9,1.0,clubs,r,6.0,clubs,r,0.17,Computer,3,1.0,hearts,r,2.0,hearts,r,0.5
13,player1,swipeLeft,swipeLeft,correct,2.39,87.60000000000001,UOS-2,10,5.0,diamonds,r,6.0,diamonds,r,0.8300000000000001,Computer,3,1.0,diamonds,r,3.0,clubs,r,0.33
